,TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value
376,2008,Hungary,Total,Unknown,Less than 14 years,Person,
377,2008,Hungary,Total,Unknown,From 14 to 17 years,Person,
378,2008,Hungary,Total,Unknown,From 18 to 34 years,Person,
379,2008,Hungary,Total,Unknown,35 years or over,Person,
380,2008,Malta,Total,Total,Total,Person,3015.0
381,2008,Malta,Total,Total,Less than 14 years,Person,35.0
382,2008,Malta,Total,Total,From 14 to 17 years,Person,170.0
383,2008,Malta,Total,Total,From 18 to 34 years,Person,2640.0
384,2008,Malta,Total,Total,35 years or over,Person,170.0
385,2008,Malta,Total,Males,Total,Person,2615.0
386,2008,Malta,Total,Males,Less than 14 years,Person,20.0
387,2008,Malta,Total,Males,From 14 to 17 years,Person,145.0
388,2008,Malta,Total,Males,From 18 to 34 years,Person,2300.0
389,2008,Malta,Total,Males,35 years or over,Person,145.0
390,2008,Malta,Total,Females,Total,Person,400.0
391,2008,Malta,Total,Females,Less than 14 years,Person,15.0
392,2008,Malta,Total,Females,From 14 to 17 years,Person,25.0
393,2008,Malta,Total,Females,From 18 to 34 years,Person,335.0
394,2008,Malta,Total,Females,35 years or over,Person,25.0
395,2008,Malta,Total,Unknown,Total,Person,
396,2008,Malta,Total,Unknown,Less than 14 years,Person,
397,2008,Malta,Total,Unknown,From 14 to 17 years,Person,
398,2008,Malta,Total,Unknown,From 18 to 34 years,Person,
399,2008,Malta,Total,Unknown,35 years or over,Person,
400,2008,Netherlands,Total,Total,Total,Person,7505.0
401,2008,Netherlands,Total,Total,Less than 14 years,Person,30.0
402,2008,Netherlands,Total,Total,From 14 to 17 years,Person,200.0
403,2008,Netherlands,Total,Total,From 18 to 34 years,Person,4705.0
404,2008,Netherlands,Total,Total,35 years or over,Person,2570.0
405,2008,Netherlands,Total,Males,Total,Person,6445.0
406,2008,Netherlands,Total,Males,Less than 14 years,Person,20.0
407,2008,Netherlands,Total,Males,From 14 to 17 years,Person,165.0
408,2008,Netherlands,Total,Males,From 18 to 34 years,Person,4050.0
409,2008,Netherlands,Total,Males,35 years or over,Person,2210.0
410,2008,Netherlands,Total,Females,Total,Person,1060.0
411,2008,Netherlands,Total,Females,Less than 14 years,Person,10.0
412,2008,Netherlands,Total,Females,From 14 to 17 years,Person,30.0
413,2008,Netherlands,Total,Females,From 18 to 34 years,Person,655.0
414,2008,Netherlands,Total,Females,35 years or over,Person,360.0
415,2008,Netherlands,Total,Unknown,Total,Person,
416,2008,Netherlands,Total,Unknown,Less than 14 years,Person,
417,2008,Netherlands,Total,Unknown,From 14 to 17 years,Person,
418,2008,Netherlands,Total,Unknown,From 18 to 34 years,Person,
419,2008,Netherlands,Total,Unknown,35 years or over,Person,
420,2008,Austria,Total,Total,Total,Person,14500.0
421,2008,Austria,Total,Total,Less than 14 years,Person,1450.0
422,2008,Austria,Total,Total,From 14 to 17 years,Person,1195.0
423,2008,Austria,Total,Total,From 18 to 34 years,Person,8330.0
424,2008,Austria,Total,Total,35 years or over,Person,3525.0
425,2008,Austria,Total,Males,Total,Person,11095.0
426,2008,Austria,Total,Males,Less than 14 years,Person,780.0
427,2008,Austria,Total,Males,From 14 to 17 years,Person,1010.0
428,2008,Austria,Total,Males,From 18 to 34 years,Person,6710.0
429,2008,Austria,Total,Males,35 years or over,Person,2595.0
430,2008,Austria,Total,Females,Total,Person,3405.0
431,2008,Austria,Total,Females,Less than 14 years,Person,670.0
432,2008,Austria,Total,Females,From 14 to 17 years,Person,185.0
433,2008,Austria,Total,Females,From 18 to 34 years,Person,1625.0
434,2008,Austria,Total,Females,35 years or over,Person,930.0
435,2008,Austria,Total,Unknown,Total,Person,
436,2008,Austria,Total,Unknown,Less than 14 years,Person,
437,2008,Austria,Total,Unknown,From 14 to 17 years,Person,
438,2008,Austria,Total,Unknown,From 18 to 34 years,Person,
439,2008,Austria,Total,Unknown,35 years or over,Person,
440,2008,Poland,Total,Total,Total,Person,5430.0
441,2008,Poland,Total,Total,Less than 14 years,Person,110.0
442,2008,Poland,Total,Total,From 14 to 17 years,Person,35.0
443,2008,Poland,Total,Total,From 18 to 34 years,Person,2710.0
